产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
Nike SB Fisherman,628684-753,￥199,￥0,赭黄/黑曜石,['均码'],"['轻盈保暖', '罗纹结构，舒适耐穿', '腈纶面料质感柔软，轻盈保暖', '翻边设计，舒适贴合头部', '产品细节', '面料：100% 腈纶', '手洗', '显示颜色： 赭黄/黑曜石色', '款式： 628684-753']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/jkflr2trjkdblxwq4b8a/sb-fisherman-针织帽-89Tq783M.jpg'],针织帽,1,mens,1,https://www.nike.com/cn/t/sb-fisherman-%E9%92%88%E7%BB%87%E5%B8%BD-89Tq783M/628684-753
Nike Featherlight Nathan Bell,AV7772-663,￥179,￥0,泡沫粉,['均码'],"['轻盈包覆', '其他细节', 'Nike AeroBill 技术，实现出众透气性和舒适速干性', '背面可调式扣合设计，缔造稳固贴合感', '内置汗带，有助导湿速干', '激光穿孔设计，打造出色透气性', 'Nathan Bell 设计手绘图案', '产品细节', '面料/里料：100% 聚酯纤维', '可机洗', '显示颜色： 泡沫粉', '款式： AV7772-663', '关于本系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/n1si3qaljvvkbndlyd2z/featherlight-nathan-bell-印花跑步运动帽-hCdCdq.jpg'],印花跑步运动帽,4,womens,2,https://www.nike.com/cn/t/featherlight-nathan-bell-%E5%8D%B0%E8%8A%B1%E8%B7%91%E6%AD%A5%E8%BF%90%E5%8A%A8%E5%B8%BD-hCdCdq/AV7772-663
Nike Featherlight Nathan Bell,AV7772-010,￥179,￥0,黑,['均码'],"['轻盈包覆', '其他细节', 'Nike AeroBill 技术，实现出众透气性和舒适速干性', '背面可调式扣合设计，缔造稳固贴合感', '内置汗带，有助导湿速干', '激光穿孔设计，打造出色透气性', 'Nathan Bell 设计手绘图案', '产品细节', '面料/里料：100% 聚酯纤维', '可机洗', '显示颜色： 黑', '款式： AV7772-010', '关于本系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/cyolmckdpijkssgjbzyb/featherlight-nathan-bell-印花跑步运动帽-hCdCdq.jpg'],印花跑步运动帽,4,womens,2,https://www.nike.com/cn/t/featherlight-nathan-bell-%E5%8D%B0%E8%8A%B1%E8%B7%91%E6%AD%A5%E8%BF%90%E5%8A%A8%E5%B8%BD-hCdCdq/AV7772-010
Nike SB Fisherman,628684-716,￥199,￥0,矿物金/黑,['均码'],"['轻盈保暖', '罗纹结构，舒适耐穿', '腈纶面料质感柔软，轻盈保暖', '翻边设计，舒适贴合头部', '产品细节', '面料：100% 腈纶', '手洗', '显示颜色： 矿物金/黑', '款式： 628684-716']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/tosqiwn4hfvkpswtdgtp/sb-fisherman-针织帽-89Tq783M.jpg'],针织帽,1,mens,1,https://www.nike.com/cn/t/sb-fisherman-%E9%92%88%E7%BB%87%E5%B8%BD-89Tq783M/628684-716
Nike SB,AV7883-222,￥169,￥0,中橄榄绿,['均码'],"['迷彩设计，经典外观', '其他细节', '侧边和背面搭配网眼拼接设计，提升透气性', '按扣式扣合设计，可供自由调节贴合效果', '精制汗带，柔软舒适', '产品细节', '迷彩印花', '仿皮贴片', 'Nike SB 凹刻标志', '面料：100% 棉。前片拼接（背面）/网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 中橄榄绿', '款式： AV7883-222']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/fqpll7v77dhjxypql77u/sb-trucker-滑板运动帽-NbS7Bh.jpg'],Trucker 滑板运动帽,4,mens,1,https://www.nike.com/cn/t/sb-trucker-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-NbS7Bh/AV7883-222
Nike SB,AV7883-248,￥169,￥0,沙漠矿石黄,['均码'],"['迷彩设计，经典外观', '其他细节', '侧边和背面搭配网眼拼接设计，提升透气性', '按扣式扣合设计，可供自由调节贴合效果', '精制汗带，柔软舒适', '产品细节', '迷彩印花', '仿皮贴片', 'Nike SB 凹刻标志', '面料：100% 棉。前片拼接（背面）/网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 沙漠矿石黄', '款式： AV7883-248']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/iiagb4lns7klwm8vjhjf/sb-trucker-滑板运动帽-NbS7Bh.jpg'],Trucker 滑板运动帽,4,mens,1,https://www.nike.com/cn/t/sb-trucker-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-NbS7Bh/AV7883-248
NikeLab ACG,AV4774-395,￥349,￥0,帆布橄榄绿/白色/光辉荧光黄,['均码'],"['为运动而生，动态贴合', '其他细节', '针织面料，柔软保暖', '优质里料，帮助保持干爽', '双面佩戴设计塑就两种风格', '产品细节', '外层面料/内层面料：80% 聚酯纤维/20% 棉', '手洗', '显示颜色： 帆布橄榄绿/白色/光辉荧光黄', '款式： AV4774-395', '关于 NikeLab ACG 系列']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/r8y6zhbmezmhelnplbhb/nikelab-acg-针织帽-6LMtmt.jpg'],针织帽,3,mens,1,https://www.nike.com/cn/t/nikelab-acg-%E9%92%88%E7%BB%87%E5%B8%BD-6LMtmt/AV4774-395
Nike ACG,AV4775-381,￥199,￥0,晶洞水鸭青,['均码'],"['舒适御寒', '其他细节', '针织面料，柔软保暖', '翻边设计塑就舒适贴合感', '产品细节', '外层面料/内层面料：70% 腈纶/30% 羊毛', '手洗', '显示颜色： 晶洞水鸭青', '款式： AV4775-381']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/ka7vvx1qvafpufp3d7h0/acg-针织帽-nNWB5x.jpg'],针织帽,2,mens,1,https://www.nike.com/cn/t/acg-%E9%92%88%E7%BB%87%E5%B8%BD-nNWB5x/AV4775-381
