产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品标题,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_title,goods_num,gender,goods_page,goods_url
Nike Tailwind,AV7690-005,￥279,￥0,微灰,['all'],"['多元包覆', 'Nike Tailwind\xa0可调节跑步运动帽帮助保持凉爽，营造出色包覆体验。轻盈版型结合透气面料和内置遮阳设计，垂下可遮盖颈部。', '其他细节', 'Nike AeroBill 技术，实现出众透气性和舒适速干性。', '拼片垂落可遮盖颈部', '背面扣带设计，打造可调式个性化贴合感', '产品细节', '面料：100% 聚酯纤维。后拼接/中部拼接：86% 聚酯纤维/14% 氨纶。前片里料拼接：92% 聚酯纤维/8% 氨纶。', '手洗', '显示颜色： 微灰', '款式： AV7690-005', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/japi6krlu5ifrya2ywka/tailwind-可调节跑步运动帽-B5WZjd.jpg'],可调节跑步运动帽,1,womens,2,https://www.nike.com/cn/t/tailwind-%E5%8F%AF%E8%B0%83%E8%8A%82%E8%B7%91%E6%AD%A5%E8%BF%90%E5%8A%A8%E5%B8%BD-B5WZjd
Nike SB,AV7883-248,￥169,￥0,沙漠矿石黄,['all'],"['迷彩设计，经典外观', 'Nike SB Trucker 滑板运动帽采用高帽冠、平整帽檐结合网眼拼接设计，塑就出众结构感和凉爽舒适感受。', '其他细节', '侧边和背面搭配网眼拼接设计，提升透气性', '按扣式扣合设计，可供自由调节贴合效果', '精制汗带，柔软舒适', '产品细节', '迷彩印花', '仿皮贴片', 'Nike SB 凹刻标志', '面料：100% 棉。前片拼接（背面）/网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 沙漠矿石黄', '款式： AV7883-248', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/iiagb4lns7klwm8vjhjf/sb-trucker-滑板运动帽-NbS7Bh.jpg'],Trucker 滑板运动帽,2,womens,2,https://www.nike.com/cn/t/sb-trucker-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-NbS7Bh/AV7883-248
Nike SB,AV7883-222,￥169,￥0,中橄榄绿,['all'],"['迷彩设计，经典外观', 'Nike SB Trucker 滑板运动帽采用高帽冠、平整帽檐结合网眼拼接设计，塑就出众结构感和凉爽舒适感受。', '其他细节', '侧边和背面搭配网眼拼接设计，提升透气性', '按扣式扣合设计，可供自由调节贴合效果', '精制汗带，柔软舒适', '产品细节', '迷彩印花', '仿皮贴片', 'Nike SB 凹刻标志', '面料：100% 棉。前片拼接（背面）/网眼布：100% 聚酯纤维。', '手洗', '显示颜色： 中橄榄绿', '款式： AV7883-222', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/fqpll7v77dhjxypql77u/sb-trucker-滑板运动帽-NbS7Bh.jpg'],Trucker 滑板运动帽,2,womens,2,https://www.nike.com/cn/t/sb-trucker-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-NbS7Bh/AV7883-222
Nike SB Fisherman,628684-753,￥199,￥0,赭黄/黑曜石色,['all'],"['轻盈保暖', '\xa0\n', '罗纹结构，舒适耐穿', '腈纶面料质感柔软，轻盈保暖', '翻边设计，舒适贴合头部', '产品细节', '面料：100% 腈纶', '手洗', '显示颜色： 赭黄/黑曜石色', '款式： 628684-753', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/jkflr2trjkdblxwq4b8a/sb-fisherman-针织帽-89Tq783M.jpg'],针织帽,3,womens,2,https://www.nike.com/cn/t/sb-fisherman-%E9%92%88%E7%BB%87%E5%B8%BD-89Tq783M/628684-753
Nike SB Fisherman,628684-716,￥199,￥0,矿物金/黑,['all'],"['轻盈保暖', '\xa0\n', '罗纹结构，舒适耐穿', '腈纶面料质感柔软，轻盈保暖', '翻边设计，舒适贴合头部', '产品细节', '面料：100% 腈纶', '手洗', '显示颜色： 矿物金/黑', '款式： 628684-716', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/tosqiwn4hfvkpswtdgtp/sb-fisherman-针织帽-89Tq783M.jpg'],针织帽,3,womens,2,https://www.nike.com/cn/t/sb-fisherman-%E9%92%88%E7%BB%87%E5%B8%BD-89Tq783M/628684-716
Nike SB Fisherman,628684-011,￥199,￥0,黑/白色,['all'],"['轻盈保暖', '罗纹结构，舒适耐穿', '腈纶面料质感柔软，轻盈保暖', '翻边设计，舒适贴合头部', '产品细节', '面料：100% 腈纶', '手洗', '显示颜色： 黑/白色', '款式： 628684-011', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/fobtknpoqix7vlmob4th/sb-fisherman-针织帽-w0rb6L.jpg'],针织帽,4,womens,2,https://www.nike.com/cn/t/sb-fisherman-%E9%92%88%E7%BB%87%E5%B8%BD-w0rb6L/628684-011
Nike SB,AV7885-220,￥199,￥0,丝绒棕,['all'],"['织物设计，别致风格', 'Nike SB\xa0滑板运动帽为你带来可调节的舒适贴合感受。侧边拼接巧搭设计灵感源自传统危地马拉织物的彩色图案。', '其他细节', 'Dri-FIT 技术，帮助保持干爽舒适，缔造心无旁骛的运动体验', '织物汗带，柔软导湿', '图案的设计灵感源自危地马拉面料印花', '背面可调节扣合设计，营造出色贴合感', '产品细节', '面料：100% 棉。拼接：100% 聚酯纤维。里料：91% 聚酯纤维/9% 氨纶。', '手洗', '显示颜色： 丝绒棕', '款式： AV7885-220', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/fi6yhzlz46jkfpxl015g/sb-滑板运动帽-G9WZCQ.jpg'],滑板运动帽,5,womens,2,https://www.nike.com/cn/t/sb-%E6%BB%91%E6%9D%BF%E8%BF%90%E5%8A%A8%E5%B8%BD-G9WZCQ
Nike Printed,AC3740-964,￥189,￥0,多色/白色/白色/黑,['all'],"['弹力舒适', 'Nike Printed 头带（6 条）在训练中稳固贴合头部，有效减少头发干扰视线。', '其他细节', '弹性面料，舒适贴合', '头带添加硅胶设计，稳固贴合', '产品细节', '宽度：约1.27 厘米', '材质：70% 聚酯纤维/20% 二烯类弹性纤维/10% 硅胶', '可机洗', '显示颜色： 多色/白色/白色/黑', '款式： AC3740-964', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/txmlxwgbcgwu7oxfzfaq/printed-头带（6-条）-lRApNE.jpg'],头带（6 条）,6,womens,2,https://www.nike.com/cn/t/printed-%E5%A4%B4%E5%B8%A6%EF%BC%886-%E6%9D%A1%EF%BC%89-lRApNE
Nike,AC4344-925,￥129,￥0,多色/游戏宝蓝/黑/大学红,['all'],"['便捷体验，训练专属', 'Nike Mixed Ponytail 发带（9 条）采用匠心打造，在运动中可减少头发干扰脸部，缔造心无旁骛的运动体验。', '其他细节', '弹性松紧带帮助稳固头发', '产品细节', '9 条成组出售', '面料：聚酯纤维/二烯类弹性纤维/氨纶/氨纶', '显示颜色： 多色/游戏宝蓝/黑/大学红', '款式： AC4344-925', '敬请注意，同款但不同配色的商品有可能在材质等方面有些许差异，本页面中的商品介绍内容仅供参考，商品具体信息请以实物为准。如商品介绍内容中包含 Nike Flyknit 或气垫相关信息，请点击此', '，获取产品技术说明和穿着注意事项。']",['https://c.static-nike.com/a/images/t_PDP_1280_v1/f_auto/scxrjmtboggul9hq5cxf/mixed-ponytail-发带（9-条）-bP0JdR.jpg'],Mixed Ponytail 发带（9 条）,7,womens,2,https://www.nike.com/cn/t/mixed-ponytail-%E5%8F%91%E5%B8%A6%EF%BC%889-%E6%9D%A1%EF%BC%89-bP0JdR
