产品名字,产品型号,产品价格,产品以前价格,产品颜色,产品尺寸,产品详情,产品图片,产品位置,适合人群,产品页面编号,产品url
goods_name,goods_model,goods_price,goods_discount_price,goods_color,goods_size,goods_details,goods_images,goods_num,gender,goods_page,goods_url
男士UA Launch ArmourVent运动帽,STYLE#1305003-100,￥229.00,￥0,白色,['均码'],"['科技介绍', 'UA Free Fit设计，正面贴合头型，配有弧面帽檐，风格低调而时髦', '耐久干爽的拉伸面料中的ArmourVent网眼布镶面，有助提升透气性', '商品细节', '反光镶边与logo有助增加弱光环境中跑步的可见度与安全性', '可调节钩扣设计', '材质说明', '主要面料：聚酯纤维', '适合运动', '适合跑步等运动', '价格说明', '划线价格：划线的价格可能是商品的专柜吊牌价或正品零售价指导价或该商品的曾经展示过的销售价等，仅供您参考', '未划线价格：未划线的价格是商品在官网上的销售标价，具体的成交价格可能因会员使用优惠券发生变化，最终以订单结算页价格为准']","['https://underarmour.scene7.com/is/image/Underarmour/1305003-100_SLF_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0', 'https://underarmour.scene7.com/is/image/Underarmour/1305003-100_SLB_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0']",1,men,1,https://www.underarmour.cn/p1305003-100.htm
男士UA Driver 3.0运动帽,STYLE#1328670-100,￥229.00,￥0,白色,['均码'],"['科技介绍', 'UA Classic Fit采用曲檐遮阳帽构造，正面拼接式设计有助于定型，风格低调', '商品细节', '正面为耐用的梭织布料，贴合头型，佩戴舒适', '后背处配有激光镂孔镶面，有助于改善透气性', 'UA Siro透气带有助于改善伸缩性，质感柔软，透气通风', '可调节扣合设计', '饰有热压浮雕logo', '材质说明', '主要面料：聚酯纤维，氨纶', '适合运动', '适合高尔夫等运动', '价格说明', '划线价格：划线的价格可能是商品的专柜吊牌价或正品零售价指导价或该商品的曾经展示过的销售价等，仅供您参考', '未划线价格：未划线的价格是商品在官网上的销售标价，具体的成交价格可能因会员使用优惠券发生变化，最终以订单结算页价格为准']","['https://underarmour.scene7.com/is/image/Underarmour/1328670-100_SLF_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0', 'https://underarmour.scene7.com/is/image/Underarmour/1328670-100_SLB_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0']",2,men,1,https://www.underarmour.cn/p1328670-100.htm
男士UA ArmourVent Warrior渔夫帽,STYLE#1328632-001,￥279.00,￥0,黑色,['均码'],"['商品细节', '传统软帽设计，风格休闲，配有加宽帽檐，包裹性更强', '耐久干爽的拉伸面料中的ArmourVent网眼布镶面，有助提升透气性', '配有可调节抽绳，有助于牢靠佩戴', '胶印logo', '材质说明', '主要面料：聚酯纤维', '适合运动', '适合训练等运动', '价格说明', '划线价格：划线的价格可能是商品的专柜吊牌价或正品零售价指导价或该商品的曾经展示过的销售价等，仅供您参考', '未划线价格：未划线的价格是商品在官网上的销售标价，具体的成交价格可能因会员使用优惠券发生变化，最终以订单结算页价格为准']","['https://resource.underarmour.cn/resources/nprdimg/2018/12/6/15440677334111630_636X572.png', 'https://resource.underarmour.cn/resources/nprdimg/2018/12/6/15440677308233514_636X572.png']",3,men,1,https://www.underarmour.cn/p1328632-001.htm
男士UA Vanish Trucker运动帽,STYLE#1328634-012,￥199.00,￥0,桃灰色,['均码'],"['科技介绍', 'UA Classic Fit采用曲檐遮阳帽构造，正面拼接式设计有助于定型，风格低调', '商品细节', '正面渐变色针织镶面有助于提升时尚感与舒适度', '侧边及后部的网眼布镶面有助于改善透气性', 'UA Siro透气带有助于改善伸缩性，质感柔软，透气通风', '可调节的扣合设计', '饰有哑光热压硅胶logo', '材质说明', '主要面料：聚酯纤维，氨纶', '适合运动', '适合训练等运动', '价格说明', '划线价格：划线的价格可能是商品的专柜吊牌价或正品零售价指导价或该商品的曾经展示过的销售价等，仅供您参考', '未划线价格：未划线的价格是商品在官网上的销售标价，具体的成交价格可能因会员使用优惠券发生变化，最终以订单结算页价格为准']","['https://resource.underarmour.cn/resources/nprdimg/2018/12/4/15438926590097787_636X572.png', 'https://resource.underarmour.cn/resources/nprdimg/2018/12/4/15438926617324237_636X572.png']",4,men,1,https://www.underarmour.cn/p1328634-012.htm
男士UA Vanish Trucker运动帽,STYLE#1328634-001,￥199.00,￥0,黑色,['均码'],"['科技介绍', 'UA Classic Fit采用曲檐遮阳帽构造，正面拼接式设计有助于定型，风格低调', '商品细节', '正面渐变色针织镶面有助于提升时尚感与舒适度', '侧边及后部的网眼布镶面有助于改善透气性', 'UA Siro透气带有助于改善伸缩性，质感柔软，透气通风', '可调节的扣合设计', '饰有哑光热压硅胶logo', '材质说明', '主要面料：聚酯纤维，氨纶', '适合运动', '适合训练等运动', '价格说明', '划线价格：划线的价格可能是商品的专柜吊牌价或正品零售价指导价或该商品的曾经展示过的销售价等，仅供您参考', '未划线价格：未划线的价格是商品在官网上的销售标价，具体的成交价格可能因会员使用优惠券发生变化，最终以订单结算页价格为准']","['https://underarmour.scene7.com/is/image/Underarmour/1328634-001_SLF_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0', 'https://underarmour.scene7.com/is/image/Underarmour/1328634-001_SLB_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0']",4,men,1,https://www.underarmour.cn/p1328634-001.htm
男士UA Core高尔夫遮阳帽,STYLE#1328676-100,￥159.00,￥0,白色,['均码'],"['科技介绍', '内置HeatGear®技术透气排潮，有助于保持头部干爽', '商品细节', '传统设计，随心贴形，符合头型，风格低调', '耐用的拉伸梭织面料，贴合头型，佩戴舒适', '可调节钩扣设计，TPU织纹细节', '饰有热压浮雕logo', '材质说明', '主要面料：聚酯纤维', '适合运动', '适合高尔夫等运动', '价格说明', '划线价格：划线的价格可能是商品的专柜吊牌价或正品零售价指导价或该商品的曾经展示过的销售价等，仅供您参考', '未划线价格：未划线的价格是商品在官网上的销售标价，具体的成交价格可能因会员使用优惠券发生变化，最终以订单结算页价格为准']","['https://underarmour.scene7.com/is/image/Underarmour/1328676-100_SLF_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0', 'https://underarmour.scene7.com/is/image/Underarmour/1328676-100_SLB_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0']",5,men,1,https://www.underarmour.cn/p1328676-100.htm
男士UA ArmourVent Core 2.0运动帽,STYLE#1328630-001,￥199.00,￥0,黑色,"['M/L', 'L/XL']","['科技介绍', '耐久干爽的拉伸面料中的ArmourVent网眼布镶面，有助提升透气性', '内置HeatGear®技术透气排潮，有助于保持头部干爽', '商品细节', '稍高的弧面帽檐，整体结构层次分明，非常有型', '弹力构造舒适贴合', '材质说明', '主要面料：聚酯纤维', '适合运动', '适合训练等运动', '价格说明', '划线价格：划线的价格可能是商品的专柜吊牌价或正品零售价指导价或该商品的曾经展示过的销售价等，仅供您参考', '未划线价格：未划线的价格是商品在官网上的销售标价，具体的成交价格可能因会员使用优惠券发生变化，最终以订单结算页价格为准']","['https://underarmour.scene7.com/is/image/Underarmour/1328630-001_SLF_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0', 'https://underarmour.scene7.com/is/image/Underarmour/1328630-001_SLB_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0']",6,men,1,https://www.underarmour.cn/p1328630-001.htm
男士UA ArmourVent Core 2.0运动帽,STYLE#1328630-112,￥199.00,￥0,玛瑙白,"['M/L', 'L/XL']","['科技介绍', '耐久干爽的拉伸面料中的ArmourVent网眼布镶面，有助提升透气性', '内置HeatGear®技术透气排潮，有助于保持头部干爽', '商品细节', '稍高的弧面帽檐，整体结构层次分明，非常有型', '弹力构造舒适贴合', '材质说明', '主要面料：聚酯纤维', '适合运动', '适合训练等运动', '价格说明', '划线价格：划线的价格可能是商品的专柜吊牌价或正品零售价指导价或该商品的曾经展示过的销售价等，仅供您参考', '未划线价格：未划线的价格是商品在官网上的销售标价，具体的成交价格可能因会员使用优惠券发生变化，最终以订单结算页价格为准']","['https://underarmour.scene7.com/is/image/Underarmour/1328630-112_SLF_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0', 'https://underarmour.scene7.com/is/image/Underarmour/1328630-112_SLB_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0']",6,men,1,https://www.underarmour.cn/p1328630-112.htm
男士UA x Project Rock ADH平檐帽,STYLE#1345184-001,￥299.00,￥0,黑色,['均码'],"['科技介绍', '内置HeatGear®技术透气排潮，有助于保持头部干爽', '商品细节', 'UA Flat Fit采用平檐遮阳帽构造，正面拼接式设计帮助定型，稍高的帽冠有助于凸显时尚感', '轻质而有弹力的梭织面料搭配镂孔后部镶面，有助于改善透气性', '可调节的扣合设计', '材质说明', '主要面料：聚酯纤维，氨纶', '适合运动', '适合训练等运动', '价格说明', '划线价格：划线的价格可能是商品的专柜吊牌价或正品零售价指导价或该商品的曾经展示过的销售价等，仅供您参考', '未划线价格：未划线的价格是商品在官网上的销售标价，具体的成交价格可能因会员使用优惠券发生变化，最终以订单结算页价格为准']","['https://underarmour.scene7.com/is/image/Underarmour/1345184-001_SLF_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0', 'https://underarmour.scene7.com/is/image/Underarmour/1345184-001_SLB_SL?scl=1&fmt=jpg&qlt=80&size=400,515&wid=636&hei=572&extend=0,0,0,0&cache=on,off&resMode=sharp2&bgc=f0f0f0']",7,men,1,https://www.underarmour.cn/p1345184-001.htm
